iter	MultiClass
0	1.352354942
1	1.304172124
2	1.268745581
3	1.230620216
4	1.199202363
5	1.172021145
6	1.146535086
7	1.126282402
8	1.106597232
9	1.091385793
10	1.07497238
11	1.061369744
12	1.047039149
13	1.034718141
14	1.021410269
15	1.010964902
16	1.000219774
17	0.9888396979
18	0.9792352418
19	0.9704147664
20	0.9632315582
21	0.9540435966
22	0.9461359595
23	0.9391171433
24	0.9321462305
25	0.9268567762
26	0.9195070293
27	0.9122795395
28	0.9047336819
29	0.8978770703
30	0.8944423636
31	0.8856973098
32	0.8805317413
33	0.8769766151
34	0.8707204811
35	0.8639974967
36	0.856552479
37	0.8522668483
38	0.8479799043
39	0.8449878595
40	0.8414674333
41	0.8360624588
42	0.8325393485
43	0.8284553412
44	0.8246509388
45	0.8182141151
46	0.8149524074
47	0.8116513297
48	0.805305467
49	0.8013874165
50	0.7967468265
51	0.7923567364
52	0.7892649427
53	0.783630506
54	0.7800197983
55	0.7751586011
56	0.7721508769
57	0.7689656758
58	0.7653876601
59	0.7616542697
60	0.7581688535
61	0.7546910201
62	0.7526244247
63	0.7469313567
64	0.7439145739
65	0.7399776099
66	0.7363100124
67	0.731703638
68	0.7293458678
69	0.7241914994
70	0.7201241788
71	0.7144162707
72	0.7115205675
73	0.7071495049
74	0.7043759987
75	0.7026179395
76	0.6982218645
77	0.6937489885
78	0.6909751395
79	0.6882180075
80	0.6848137511
81	0.6814375689
82	0.6776140643
83	0.6749873314
84	0.6714765421
85	0.6701702074
86	0.6665517316
87	0.6625459935
88	0.6585753669
89	0.6560584329
90	0.6534908678
91	0.6499299519
92	0.6468759613
93	0.6436423892
94	0.6412593169
95	0.6387007651
96	0.6352277247
97	0.6318900533
98	0.6298110264
99	0.6258282725
100	0.6232446181
101	0.6194012896
102	0.6154761227
103	0.6139080379
104	0.6118336825
105	0.6081049138
106	0.6055499736
107	0.603173577
108	0.6002571918
109	0.5975412033
110	0.5954749964
111	0.5928404287
112	0.5901081748
113	0.5877838004
114	0.5846720778
115	0.5829452869
116	0.5799986703
117	0.5773966083
118	0.5747789647
119	0.5720352566
120	0.5694295351
121	0.5667106967
122	0.5642790793
123	0.5615980565
124	0.5590588496
125	0.5565945781
126	0.554827849
127	0.551729558
128	0.5504977833
129	0.5486587596
130	0.5461406516
131	0.5433720911
132	0.5411649081
133	0.539545792
134	0.5372833786
135	0.5346790243
136	0.532835588
137	0.5318318605
138	0.530110089
139	0.5292406954
140	0.5275773798
141	0.52545123
142	0.5233580563
143	0.520729363
144	0.5185191931
145	0.516196661
146	0.5137795567
147	0.5118532618
148	0.5105289496
149	0.5089116419
150	0.5072860379
151	0.5054070226
152	0.5032611003
153	0.5019799104
154	0.5006686048
155	0.4984466134
156	0.4970264502
157	0.4951309368
158	0.4934375253
159	0.4913439528
160	0.4899587949
161	0.4886419435
162	0.4864109706
163	0.4850606742
164	0.484056575
165	0.4827975617
166	0.4811819033
167	0.4791973721
168	0.4771008341
169	0.4760753244
170	0.4736929214
171	0.4720687421
172	0.4706674496
173	0.4692503226
174	0.4685621907
175	0.4665182285
176	0.464855678
177	0.4635208811
178	0.4620923121
179	0.4598794545
180	0.4585531384
181	0.4568891592
182	0.4549662234
183	0.4537064801
184	0.4523783368
185	0.4509309829
186	0.4488093445
187	0.4479106356
188	0.4468791684
189	0.4455894969
190	0.443827767
191	0.4425094177
192	0.4410922328
193	0.4396733883
194	0.4384428814
195	0.4372386052
196	0.4362491142
197	0.4356416648
198	0.4347142145
199	0.4325130857
200	0.4308333477
201	0.4293835384
202	0.4278941137
203	0.4268349665
204	0.4258255551
205	0.4241598068
206	0.4225868645
207	0.4216771714
208	0.4202526661
209	0.4194506436
210	0.4180725241
211	0.4169948451
212	0.4164778895
213	0.4151797669
214	0.4142808435
215	0.4134921259
216	0.4112907034
217	0.4107593627
218	0.4100529685
219	0.4092601823
220	0.4087370662
221	0.4078889109
222	0.4070100677
223	0.4060022886
224	0.4049515408
225	0.4041312975
226	0.4021633755
227	0.4011113358
228	0.4000791946
229	0.3984665539
230	0.3973566494
231	0.3958522015
232	0.3947891976
233	0.3938182273
234	0.393133137
235	0.392302502
236	0.3915837916
237	0.3899557289
238	0.3881645972
239	0.3873877513
240	0.386615952
241	0.3856795048
242	0.3849855097
243	0.3841103018
244	0.3829395931
245	0.3811867654
246	0.3798683008
247	0.3790019761
248	0.377998897
249	0.3770799207
250	0.375873479
251	0.374718286
252	0.3737790259
253	0.3730935034
254	0.371792521
255	0.3711855422
256	0.3701809542
257	0.3690193192
258	0.3677526975
259	0.3668222269
260	0.366095274
261	0.3649414949
262	0.3642490967
263	0.363893799
264	0.3624587586
265	0.361246097
266	0.3605470989
267	0.3594178279
268	0.3584995294
269	0.3568776911
270	0.3560209973
271	0.3551620046
272	0.3543649837
273	0.3537770833
274	0.3527621801
275	0.3518970974
276	0.3505998742
277	0.3497700582
278	0.3489184534
279	0.3483624337
280	0.3472843684
281	0.3463408389
282	0.3453565872
283	0.3444926821
284	0.3436709845
285	0.3433000332
286	0.342766919
287	0.3415817781
288	0.3407943185
289	0.339577584
290	0.3390199179
291	0.3388007768
292	0.3383391444
293	0.3378711918
294	0.3371001714
295	0.3364125499
296	0.3356134566
297	0.3349018064
298	0.3345579223
299	0.3339326265
300	0.33356559
301	0.3332971351
302	0.3324423017
303	0.3318591009
304	0.3314777394
305	0.3310706015
306	0.3304031318
307	0.3300250362
308	0.3294885858
309	0.3293170237
310	0.3289332913
311	0.3283334984
312	0.327029076
313	0.3264412153
314	0.3258867289
315	0.3253012747
316	0.3249405137
317	0.3244550379
318	0.3236640271
319	0.3232671582
320	0.3228317162
321	0.3222464114
322	0.3211147521
323	0.3204598335
324	0.3196995609
325	0.3189670068
326	0.3186278246
327	0.3182533273
328	0.3176914088
329	0.3173528851
330	0.3170278524
331	0.3163304251
332	0.3161736612
333	0.3153496885
334	0.3147759186
335	0.3141434193
336	0.3137615393
337	0.3128411726
338	0.3123130057
339	0.3117059342
340	0.3110588156
341	0.310355286
342	0.3092323491
343	0.3086927226
344	0.3083088715
345	0.3075865129
346	0.3068698154
347	0.3065190029
348	0.3061180728
349	0.3051666105
350	0.3048358669
351	0.3041101975
352	0.3034163089
353	0.3028574415
354	0.3025242973
355	0.3022045293
356	0.3016716265
357	0.3010494732
358	0.300630933
359	0.3003188653
360	0.300049089
361	0.2996646903
362	0.2993726214
363	0.2984751747
364	0.2981208693
365	0.2973103598
366	0.2968728128
367	0.2964663346
368	0.296301272
369	0.2958288048
370	0.2951120773
371	0.2948101775
372	0.2942593234
373	0.2938678586
374	0.2931824542
375	0.2926673103
376	0.2925002788
377	0.292129438
378	0.2919360508
379	0.2912578665
380	0.2908319286
381	0.2904506444
382	0.2900185266
383	0.2891598948
384	0.2890049788
385	0.2884362656
386	0.2877285183
387	0.2875222906
388	0.2872945492
389	0.2867177935
390	0.2860233311
391	0.2852438416
392	0.2845137292
393	0.2841389123
394	0.2835444668
395	0.2832905259
396	0.28300711
397	0.2829095343
398	0.2824951001
399	0.2822387846
400	0.2815882024
401	0.2811418699
402	0.2805344414
403	0.2802857692
404	0.2797738298
405	0.2793785333
406	0.2790034088
407	0.2787589656
408	0.2785248342
409	0.2782259734
410	0.2778286495
411	0.2775730908
412	0.2771929715
413	0.2769300997
414	0.2763328677
415	0.2760512257
416	0.2757159087
417	0.2754809478
418	0.2752680471
419	0.2747317949
420	0.2741559882
421	0.2737955237
422	0.2734770119
423	0.273287852
424	0.2730707815
425	0.2728192729
426	0.2721156155
427	0.2719978298
428	0.271555562
429	0.2710963017
430	0.2705009293
431	0.2701988909
432	0.2698283233
433	0.2693702006
434	0.2691070703
435	0.2687251932
436	0.2683015998
437	0.2680846456
438	0.2677714923
439	0.2675893357
440	0.2673381042
441	0.2670520466
442	0.2665051394
443	0.2659174506
444	0.2656253136
445	0.2654274303
446	0.2652151201
447	0.2649395611
448	0.2644041985
449	0.2640135985
450	0.2633615962
451	0.2632489464
452	0.2629334978
453	0.2625161033
454	0.262130565
455	0.2618615185
456	0.261563134
457	0.2613160505
458	0.2612011347
459	0.2609172277
460	0.2603769443
461	0.2601781804
462	0.2598315091
463	0.2593490037
464	0.2590317685
465	0.2586714466
466	0.2584911673
467	0.2582427022
468	0.2579722864
469	0.2575496284
470	0.2572191254
471	0.2568768128
472	0.2564536457
473	0.2559119434
474	0.255527702
475	0.2551690592
476	0.2545754926
477	0.2543572604
478	0.2541363619
479	0.2536951042
480	0.2535850771
481	0.2531321177
482	0.2528992722
483	0.2525509316
484	0.2523100355
485	0.2521773928
486	0.251724622
487	0.251305636
488	0.250906081
489	0.2507653005
490	0.2504159228
491	0.2501365204
492	0.2500520374
493	0.2496943852
494	0.2494098835
495	0.2492133414
496	0.2490384267
497	0.2488117728
498	0.2486212046
499	0.2483280818
500	0.2479742819
501	0.2475460248
502	0.2473355422
503	0.2471433887
504	0.2469205651
505	0.2468459509
506	0.2462086561
507	0.2458595904
508	0.2457386102
509	0.2453384312
510	0.2451733824
511	0.245064768
512	0.2448678779
513	0.2445563531
514	0.2441592127
515	0.2438452994
516	0.2435537933
517	0.243247054
518	0.2427966972
519	0.2426116076
520	0.2424398181
521	0.2420320421
522	0.2417054344
523	0.241402739
524	0.241192866
525	0.2409743937
526	0.2407254329
527	0.2405423936
528	0.2404464045
529	0.240258235
530	0.2401021994
531	0.2399847524
532	0.2397390989
533	0.2395551121
534	0.2394360733
535	0.2391847777
536	0.2389361908
537	0.238756728
538	0.2386781307
539	0.2383812986
540	0.2382224945
541	0.2380960287
542	0.2376891396
543	0.2375988974
544	0.237417652
545	0.2371439064
546	0.2369818848
547	0.2369105848
548	0.2368099318
549	0.2366890173
550	0.2363680529
551	0.2362314711
552	0.2359348985
553	0.2357177998
554	0.2355438548
555	0.2353488868
556	0.2349828236
557	0.2348707586
558	0.2346928282
559	0.2345743508
560	0.2343391308
561	0.2341716903
562	0.2339544972
563	0.233730351
564	0.2336159155
565	0.2334716882
566	0.2332261346
567	0.2330383775
568	0.2326817742
569	0.2325749598
570	0.2324501986
571	0.2320637635
572	0.231841848
573	0.2315434837
574	0.2311339898
575	0.2308458228
576	0.2302139669
577	0.2300875455
578	0.2300284462
579	0.2298490614
580	0.2296990557
581	0.2295664223
582	0.2293434786
583	0.229257326
584	0.2290675753
585	0.2287721628
586	0.2286222197
587	0.2284135135
588	0.228307037
589	0.2281455836
590	0.2276843394
591	0.2274359537
592	0.2270858396
593	0.2269890476
594	0.2268942832
595	0.2265984788
596	0.2261816961
597	0.2260768525
598	0.2259866595
599	0.2257392032
600	0.2255001282
601	0.2251817584
602	0.2249742486
603	0.2249002752
604	0.224743499
605	0.2246460493
606	0.224477977
607	0.2243368525
608	0.2242467583
609	0.2241884469
610	0.2239607299
611	0.2237940286
612	0.2236473433
613	0.2234250171
614	0.2232091661
615	0.2230898701
616	0.2228796646
617	0.2227747769
618	0.222648001
619	0.2225740722
620	0.2225114438
621	0.2223672102
622	0.222308057
623	0.2220899392
624	0.2219921722
625	0.221645906
626	0.2213707424
627	0.2212333624
628	0.2211383095
629	0.2209766888
630	0.2207906875
631	0.2206430562
632	0.2205012165
633	0.2204360768
634	0.2201906267
635	0.2201235077
636	0.2198618966
637	0.2197709937
638	0.2195346018
639	0.2193443162
640	0.219240935
641	0.2189637741
642	0.2187089398
643	0.2185801346
644	0.2183302723
645	0.2182290206
646	0.2181255756
647	0.2178934773
648	0.2177939636
649	0.2177049117
650	0.2175323973
651	0.2174922915
652	0.2173244202
653	0.2170984299
654	0.216975797
655	0.2168710921
656	0.2168006229
657	0.2165999319
658	0.2165208992
659	0.2163747081
660	0.216228323
661	0.2160669591
662	0.2160047136
663	0.2158716523
664	0.2156191775
665	0.2154995052
666	0.2152990024
667	0.2151578078
668	0.2150615331
669	0.2148864031
670	0.2146560216
671	0.2145569221
672	0.2142645898
673	0.2141756787
674	0.2140371044
675	0.2137557072
676	0.2136681086
677	0.213577868
678	0.213480306
679	0.2132705736
680	0.2131258631
681	0.2130257278
682	0.2129288446
683	0.212785784
684	0.2124855451
685	0.2122653138
686	0.2121010793
687	0.2120335226
688	0.2117569082
689	0.2116439453
690	0.2115623747
691	0.2114629805
692	0.2112209734
693	0.2110838423
694	0.2109151404
695	0.2108594873
696	0.2105426999
697	0.2103506793
698	0.2101959466
699	0.2100390322
700	0.2098581109
701	0.2096470137
702	0.2094310502
703	0.2092622678
704	0.209130953
705	0.209027778
706	0.2089639339
707	0.2087335746
708	0.2086484591
709	0.2085944685
710	0.2084873329
711	0.2083691038
712	0.2080536312
713	0.2077780419
714	0.2077102078
715	0.2076298571
716	0.2074717764
717	0.2071940725
718	0.2071319737
719	0.2069960977
720	0.2068552102
721	0.2067031198
722	0.2066326805
723	0.2064773308
724	0.2064212031
725	0.2063856664
726	0.2062962427
727	0.2061541068
728	0.2060390176
729	0.2059581412
730	0.2057535742
731	0.2056326321
732	0.2055421077
733	0.2054431865
734	0.2053590989
735	0.2052522028
736	0.2050221715
737	0.204950345
738	0.2047051814
739	0.2046382909
740	0.2045266621
741	0.20436961
742	0.2041911241
743	0.2041487437
744	0.2040725977
745	0.20397177
746	0.2039368744
747	0.2038768777
748	0.2037442569
749	0.2036056992
750	0.2035113144
751	0.2033037136
752	0.2032455265
753	0.2032009883
754	0.2031576448
755	0.2029901535
756	0.2028565976
757	0.2027207298
758	0.202612013
759	0.202545527
760	0.2024351619
761	0.2023047388
762	0.202068183
763	0.2019290157
764	0.2018277158
765	0.2017521441
766	0.2016757745
767	0.2015263445
768	0.2014647362
769	0.2013595281
770	0.2011506336
771	0.2009451325
772	0.2008749619
773	0.2007984808
774	0.2007400964
775	0.2005381236
776	0.2004664862
777	0.2003791509
778	0.2002992976
779	0.2002013546
780	0.2001366287
781	0.2000217006
782	0.1999285126
783	0.1997756634
784	0.1995932711
785	0.1995217594
786	0.1994587927
787	0.1993176978
788	0.1992562853
789	0.1992029905
790	0.1990075055
791	0.1989342325
792	0.1987375512
793	0.1986533326
794	0.198309721
795	0.1982712952
796	0.1981464021
797	0.1980385371
798	0.1979450954
799	0.1978550082
800	0.1978083167
801	0.1977439241
802	0.1975140216
803	0.1974038941
804	0.19720301
805	0.1971257486
806	0.1970284806
807	0.1969373487
808	0.1968316883
809	0.1965467324
810	0.1962917365
811	0.1962174045
812	0.1960679601
813	0.1959935172
814	0.1959171002
815	0.1957783397
816	0.1957060863
817	0.1955700342
818	0.1954658839
819	0.195336818
820	0.1950774011
821	0.1949631877
822	0.1949023219
823	0.1948257602
824	0.1946532916
825	0.1946108551
826	0.1944889132
827	0.1944075333
828	0.1943100698
829	0.194089855
830	0.1939255856
831	0.1938759487
832	0.1938019273
833	0.1937429091
834	0.193583228
835	0.1935506593
836	0.1934723655
837	0.1933905776
838	0.1932945715
839	0.1932098575
840	0.1931417135
841	0.1930536117
842	0.1930306276
843	0.1929148227
844	0.1928548149
845	0.1927776789
846	0.1927067334
847	0.1926419997
848	0.1925756554
849	0.192526521
850	0.1923634734
851	0.1923127122
852	0.1922495424
853	0.1921517707
854	0.1920855054
855	0.1920210841
856	0.1919610254
857	0.1918724292
858	0.1917372519
859	0.1916882779
860	0.1914510619
861	0.1912798539
862	0.1912110323
863	0.1910703038
864	0.1909624036
865	0.1909009916
866	0.1908546082
867	0.1908040535
868	0.1906969895
869	0.1906001946
870	0.1905358884
871	0.1904919575
872	0.1904541269
873	0.1903603036
874	0.1903233546
875	0.1902090466
876	0.1901694296
877	0.1900913069
878	0.1899608562
879	0.1898484656
880	0.1897749574
881	0.1896607071
882	0.1895905569
883	0.1894779852
884	0.1894242986
885	0.1893104429
886	0.1892316484
887	0.1890779533
888	0.1889780048
889	0.188949317
890	0.1888535352
891	0.1888274754
892	0.1887725139
893	0.1886972496
894	0.1886266437
895	0.18858127
896	0.1884819931
897	0.188447373
898	0.1883408675
899	0.1883006368
900	0.1882492492
901	0.1881285457
902	0.1880374843
903	0.18796783
904	0.1879423777
905	0.1878542624
906	0.187778872
907	0.187679951
908	0.1876342537
909	0.1875674954
910	0.1875218432
911	0.1873346555
912	0.1872838638
913	0.1872293128
914	0.1871919748
915	0.1869909728
916	0.1868895423
917	0.1867571308
918	0.1867168399
919	0.1866910952
920	0.1866334331
921	0.1865575846
922	0.1865215669
923	0.1864530599
924	0.1863880744
925	0.1863649679
926	0.1862130998
927	0.1860862388
928	0.1860547064
929	0.1860010997
930	0.1859477605
931	0.1857987451
932	0.185719991
933	0.1856846446
934	0.185569082
935	0.1855345284
936	0.185439843
937	0.1853868855
938	0.1853507394
939	0.1853023817
940	0.1852248126
941	0.1851522405
942	0.1850602748
943	0.1850475314
944	0.1849756303
945	0.1848261963
946	0.1847658275
947	0.1845929331
948	0.1845227685
949	0.1844740836
950	0.1843508427
951	0.1842585634
952	0.18422969
953	0.1841261969
954	0.1840812008
955	0.1839770197
956	0.1839011116
957	0.1838463942
958	0.1838088355
959	0.1836437538
960	0.1835860609
961	0.1835452352
962	0.1835167884
963	0.1834443941
964	0.1833739223
965	0.1832571377
966	0.1831765861
967	0.1830936335
968	0.1829585585
969	0.1828157912
970	0.1826649769
971	0.1826422866
972	0.1825642347
973	0.1824946795
974	0.1824784811
975	0.1824326837
976	0.1823095245
977	0.1822630296
978	0.1822285986
979	0.1821634102
980	0.1821097107
981	0.1820482683
982	0.1819865932
983	0.1819171711
984	0.1817808106
985	0.1817250719
986	0.1815996687
987	0.1815726375
988	0.1815303369
989	0.181453203
990	0.1814069632
991	0.1813591572
992	0.1813211697
993	0.181252449
994	0.1812153473
995	0.1811916557
996	0.1811358861
997	0.181091239
998	0.1810258247
999	0.1809321024
